epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,298.257,0.83389,0.70467,2.05246,0.80879,0.68861,0.75004,0.58405,1.93182,2.54077,3.37425,0.0003236,0.0003236,0.0003236
129,323.044,0.82008,0.70065,2.03478,0.86149,0.65091,0.72359,0.57865,1.99378,2.50225,3.38928,0.0003104,0.0003104,0.0003104
130,347.692,0.87842,0.74747,2.07494,0.82906,0.67442,0.72513,0.58002,1.89335,2.58572,3.21239,0.0002972,0.0002972,0.0002972
131,372.226,0.89164,0.75278,2.07453,0.82573,0.66279,0.72251,0.57871,1.96127,2.62374,3.37707,0.000284,0.000284,0.000284
132,396.942,0.86654,0.7245,2.05825,0.83053,0.68387,0.74758,0.58588,1.90629,2.3977,3.1373,0.0002708,0.0002708,0.0002708
133,422.06,0.89145,0.72204,2.06584,0.85974,0.61628,0.73259,0.5857,1.95588,2.34989,3.29266,0.0002576,0.0002576,0.0002576
134,446.746,0.87657,0.73661,2.08105,0.88166,0.63953,0.75949,0.6021,1.88946,2.29481,3.14722,0.0002444,0.0002444,0.0002444
135,471.686,0.87935,0.73877,2.06885,0.88873,0.6501,0.7736,0.60715,1.90341,2.13318,3.2083,0.0002312,0.0002312,0.0002312
136,496.49,0.83445,0.70921,2.04727,0.80731,0.6821,0.75056,0.59674,1.99948,2.178,3.27202,0.000218,0.000218,0.000218
137,521.473,0.84928,0.72245,2.04706,0.83267,0.63651,0.73867,0.58372,1.92192,2.29719,3.20821,0.0002048,0.0002048,0.0002048
138,546.034,0.83798,0.71799,2.04533,0.87788,0.63953,0.7452,0.59328,1.91165,2.20328,3.21188,0.0001916,0.0001916,0.0001916
139,570.617,0.81857,0.68651,2.04195,0.85614,0.63953,0.73055,0.5891,1.90429,2.3962,3.20521,0.0001784,0.0001784,0.0001784
140,595.68,0.81946,0.6954,2.03946,0.89244,0.62791,0.73935,0.60116,1.89174,2.25071,3.18533,0.0001652,0.0001652,0.0001652
141,646.314,0.6299,0.56143,1.88656,0.84238,0.68362,0.75547,0.60205,1.84599,2.22196,3.20994,0.000152,0.000152,0.000152
142,671.005,0.60978,0.50753,1.86826,0.86115,0.64909,0.75546,0.60265,1.81715,2.15056,3.15654,0.0001388,0.0001388,0.0001388
143,695.72,0.5744,0.48507,1.84639,0.8425,0.66279,0.75482,0.59794,1.89859,2.24369,3.25673,0.0001256,0.0001256,0.0001256
144,720.124,0.58474,0.48686,1.84833,0.86554,0.67366,0.74254,0.60026,1.83541,2.32531,3.17744,0.0001124,0.0001124,0.0001124
145,744.634,0.57804,0.49013,1.84591,0.83724,0.65116,0.74941,0.6042,1.8242,2.3836,3.16497,9.92e-05,9.92e-05,9.92e-05
146,769.229,0.55574,0.47127,1.83886,0.86286,0.66279,0.7602,0.61345,1.83904,2.35963,3.22732,8.6e-05,8.6e-05,8.6e-05
147,793.573,0.56236,0.46425,1.8377,0.86519,0.65116,0.75473,0.60318,1.8537,2.40661,3.21017,7.28e-05,7.28e-05,7.28e-05
148,817.76,0.55492,0.47002,1.83579,0.85403,0.63953,0.75678,0.61599,1.87353,2.4146,3.26896,5.96e-05,5.96e-05,5.96e-05
149,841.949,0.53844,0.44362,1.83065,0.79751,0.67442,0.75056,0.60743,1.89825,2.35705,3.29299,4.64e-05,4.64e-05,4.64e-05
150,866.282,0.5682,0.48371,1.85549,0.83211,0.66279,0.75487,0.60918,1.92536,2.36052,3.3235,3.32e-05,3.32e-05,3.32e-05
